country,age,sex,ever_used_dss,farm_size,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Australia,33,Female,False,149.62827041783754,3,4,2,5,1,3,1,2,3,5
Canada,30,Female,True,426.8103664666022,4,4,2,4,2,2,3,4,1,1
Canada,65,Female,True,508.11919279810144,4,4,2,5,1,3,5,1,1,4
UK,62,Male,True,1031.3692400908885,3,4,1,4,2,2,2,3,5,1
UK,62,Male,False,161.28209554660646,5,3,3,4,2,2,5,4,3,4
UK,39,Male,True,396.5003011724672,3,2,2,3,2,5,5,2,2,3
Mexico,31,Female,True,270.2230645729675,3,2,2,2,2,4,2,5,1,1
Australia,42,Female,True,745.4676286095766,2,3,2,4,2,1,4,4,3,2
Australia,45,Male,True,526.0781944815523,4,3,2,3,1,5,1,3,1,4
Australia,34,Male,False,127.13093069383365,2,3,1,3,3,4,5,5,5,1
USA,58,Male,False,473.50912698788096,5,3,2,4,1,3,3,2,2,1
UK,46,Male,True,1276.5486535833938,4,5,1,5,1,2,2,1,4,4
Mexico,66,Female,False,885.2487426631013,3,4,1,4,2,5,4,2,3,4
UK,49,Female,False,201.15727753289536,4,3,3,3,3,3,4,2,3,5
UK,41,Male,True,833.2386135389897,3,4,2,5,1,3,5,2,5,5
Australia,66,Male,True,553.5280936555148,3,4,3,5,1,2,3,4,5,1
USA,64,Female,True,959.1830049845732,5,3,2,2,3,1,3,5,1,2
Mexico,68,Female,True,313.36084612369973,2,3,2,3,1,1,3,3,3,4
Mexico,62,Female,False,150.98117911406865,4,3,2,3,2,5,3,5,5,4
Mexico,45,Female,False,872.5818571698007,2,3,3,5,2,4,3,4,2,1
Australia,67,Male,True,881.1878989608696,3,4,1,3,1,4,2,2,2,2
Mexico,66,Male,True,490.1705262053129,5,3,2,4,1,3,3,3,2,1
UK,52,Female,True,627.8596800978635,2,4,2,3,3,5,3,3,1,5
Canada,69,Male,False,10.0,4,4,3,2,2,5,1,2,4,5
Mexico,51,Male,True,918.6843459958334,4,2,3,3,2,4,2,3,5,3
UK,32,Male,True,877.6310648333838,4,3,3,5,2,4,4,4,4,4
Australia,40,Female,False,489.5533792756866,4,4,2,3,2,4,1,5,2,2
UK,49,Male,False,102.17732858280192,3,5,3,3,2,1,4,1,2,4
UK,26,Male,False,941.1049491398685,3,4,2,3,2,3,5,4,1,2
Australia,48,Male,False,184.95190813416377,2,3,3,4,3,3,2,4,4,5
USA,52,Female,True,301.53475762683576,3,2,3,3,1,4,1,5,5,5
Canada,36,Female,True,485.2304096624575,4,3,2,4,2,2,3,5,3,5
Mexico,62,Female,True,920.5962201021125,5,4,2,5,2,3,5,5,4,5
Mexico,64,Male,True,594.0996385691897,4,4,3,5,2,3,4,4,1,2
Canada,43,Female,False,296.50143499014166,3,4,2,4,2,1,3,3,3,1
Mexico,44,Female,True,392.4249190440047,3,2,2,4,2,2,4,4,1,1
UK,59,Female,False,862.5257190477764,3,4,1,4,2,3,5,5,4,1
Australia,65,Female,True,10.0,4,4,3,2,3,5,5,1,4,5
USA,39,Male,False,704.7485091718894,3,4,2,3,1,3,1,2,4,1
Mexico,54,Male,False,68.86359768199975,4,3,3,5,1,3,4,1,2,1
Mexico,37,Male,True,365.51228548475456,3,3,2,4,2,4,1,5,5,1
Canada,29,Male,True,853.2840006384358,4,3,1,3,3,5,5,5,4,5
Australia,64,Female,False,668.1344371038599,4,4,2,2,2,2,2,5,4,5
USA,60,Male,True,594.4176045306414,2,3,2,3,2,4,4,2,3,1
Canada,52,Male,True,588.6431863077265,3,4,2,3,1,1,1,3,5,5
Mexico,27,Female,True,141.35012962453243,5,4,2,4,1,5,2,3,3,4
Australia,69,Male,True,820.6776173738681,3,3,3,4,1,5,1,3,1,2
UK,56,Female,False,405.8116030397971,2,5,2,3,1,2,3,5,3,1
USA,31,Female,True,502.12243915816464,4,3,1,3,2,5,4,1,4,2
Australia,64,Female,True,714.9030560127605,4,3,1,3,2,1,4,1,1,1
USA,55,Female,True,474.0639600653991,5,4,1,3,2,3,1,5,5,5
Canada,54,Female,True,901.7562701773376,4,5,1,4,3,3,5,1,3,3
USA,50,Male,False,449.78676453871003,3,2,1,5,2,4,5,5,3,4
UK,44,Male,True,159.45615233942567,5,3,2,3,2,1,4,4,5,3
Mexico,53,Female,False,846.4908903923172,4,3,3,4,1,4,2,1,3,4
UK,47,Female,True,623.9987145823301,4,3,1,2,2,2,2,4,5,4
USA,34,Female,True,420.68936554647746,3,2,2,3,1,2,4,2,4,3
Canada,40,Male,True,666.963114900756,3,4,3,3,2,3,2,3,5,4
Mexico,49,Female,False,551.1490215801728,4,4,3,5,1,2,4,3,2,2
Australia,31,Female,False,330.07086304376526,2,2,2,4,2,2,5,2,3,3
USA,25,Female,True,496.5934293145997,4,3,1,5,3,1,3,2,1,4
Australia,57,Male,True,796.8997520415729,3,4,2,4,2,5,1,3,3,3
UK,62,Female,True,723.8232196091074,3,4,1,5,3,4,4,3,2,1
USA,62,Male,False,306.6361651587455,3,5,3,4,3,3,4,1,1,4
USA,33,Female,False,703.9890412764983,4,3,2,3,2,2,3,4,2,4
Canada,61,Male,True,10.0,3,3,2,4,1,2,5,5,5,5
Mexico,40,Male,True,802.3302370360113,5,5,1,5,2,3,3,4,4,5
USA,25,Male,True,1070.2131160401595,5,4,2,4,2,1,3,2,3,1
Canada,45,Female,False,742.2677535859152,3,3,2,3,3,1,5,4,4,5
Mexico,67,Female,False,928.1939492287687,5,4,2,4,2,3,5,5,1,3
Mexico,43,Female,True,247.68274305709463,4,5,2,3,2,3,3,3,2,5
Australia,49,Male,False,585.8641794354596,5,2,3,5,1,5,2,4,2,2
Canada,27,Male,True,10.0,3,3,1,3,2,4,2,3,1,1
UK,55,Male,True,311.5408191718409,3,4,3,4,2,2,4,1,2,2
UK,58,Male,True,448.38521415168884,5,3,2,3,2,5,2,1,5,4
Mexico,53,Female,False,306.1745341288839,5,4,2,3,3,4,5,5,1,4
UK,55,Male,True,534.1071559720438,4,3,2,3,2,3,3,5,2,2
USA,43,Male,True,1078.2611744551054,4,5,2,4,2,4,5,3,2,2
Canada,40,Female,True,190.2496332033926,4,3,1,2,2,3,1,1,1,2
Canada,50,Male,True,353.1083542535581,4,3,1,3,1,3,1,3,1,3
Canada,54,Female,True,191.07627325840178,4,2,1,4,2,3,2,3,2,3
Canada,41,Male,True,118.27660000870253,3,5,3,2,2,2,1,5,2,2
Canada,62,Male,True,698.9051527167144,3,5,2,4,1,4,3,5,2,3
USA,63,Male,False,1001.9256453097281,3,4,2,5,2,4,5,4,5,5
Canada,57,Male,True,463.78352286724703,4,4,2,3,1,4,5,2,5,4
Canada,44,Female,True,991.4309716911282,3,4,2,4,2,4,5,2,4,4
Canada,31,Male,True,261.3627710134111,4,2,2,4,2,3,2,5,3,1
Mexico,62,Male,True,490.4533841257859,3,3,2,2,2,5,2,2,5,1
Canada,25,Male,True,193.23751635608528,2,5,3,5,2,5,3,2,4,3
Australia,65,Female,True,224.6227821901487,4,4,1,4,2,4,4,3,4,5
Canada,25,Female,False,10.0,4,4,3,5,3,2,4,3,3,1
Mexico,36,Female,False,624.2662917490252,4,3,3,5,2,1,4,2,5,2
Canada,63,Female,False,10.0,4,3,2,5,2,2,5,2,3,5
Mexico,66,Male,True,81.56163913593218,2,5,1,3,2,4,5,2,2,2
USA,37,Female,False,72.06374256818066,5,5,1,5,2,1,5,1,3,3
Canada,43,Male,True,121.98802193146156,3,4,2,3,1,5,2,2,5,3
UK,33,Male,False,109.07347059051563,2,4,1,4,1,2,4,4,4,3
USA,31,Male,True,296.02384817361167,3,2,3,3,2,3,5,2,4,5
Mexico,48,Male,True,1003.2560031281057,4,2,2,3,2,1,1,2,5,2
UK,50,Female,False,301.9304809894578,4,5,2,3,1,2,1,5,4,2
UK,34,Female,True,418.84041544649097,4,2,1,4,2,4,1,3,3,4
USA,40,Male,False,388.39767970671085,2,4,1,3,2,5,1,3,3,1
Australia,26,Female,False,546.6813331490282,3,4,2,4,2,2,3,1,2,5
UK,52,Male,True,424.7018159078156,2,4,1,3,2,3,4,3,4,5
USA,39,Male,False,115.34248148610817,3,3,1,4,1,4,2,4,5,1
USA,59,Female,True,85.78384082129156,4,4,3,2,3,4,2,4,4,3
Canada,62,Female,True,275.2365164495736,2,5,2,5,1,2,5,5,1,3
Canada,58,Male,True,397.7460188586939,4,2,2,4,1,2,4,3,2,2
USA,42,Male,True,1056.6477289632032,4,3,3,5,3,5,5,3,4,3
UK,47,Female,True,374.2324469317617,5,3,2,5,3,1,5,3,5,4
Canada,55,Female,True,882.0434801241794,4,2,2,3,3,4,5,3,3,1
UK,49,Male,False,348.8043055976848,4,3,3,4,1,5,3,4,3,5
USA,44,Female,True,526.9489899944249,3,5,3,4,2,3,1,2,3,4
Mexico,51,Female,True,432.05393286958724,5,2,2,5,2,5,1,4,1,5
